particles,time
100,2.351804911685244
200,10.680660649104116
300,20.457398002662245
400,36.60015863426612
500,56.60454824725516
600,81.81524461894351
700,110.35146137555398
800,143.55232026071388
900,181.20444232204207
1000,222.23918910461975
1100,271.0713892904895
1200,337.75966105102833
1300,378.96850488874344
1400,442.0625383970995
1500,518.6687455683107
1600,590.4338850776462
1700,737.0630153879861
1800,794.6226900039253
1900,815.4161632783768
2000,860.4543045204377
2100,984.7671301380072
2200,1084.419958804207
2300,1154.9047717088201
2400,1248.0054028355944
2500,1338.1836690550062
